"","ID","log2FC","pvalue","padj","lfcSE","stat","observed_expression_in_control","condition","hgnc_symbol","entrezgene_id","ensembl_gene_id"
"1","ENSG00000276701",0.755574858751751,0.276069314700332,0.989959430947445,0.693702302479767,1.08919179891837,"UP","control","MIF",4282,"ENSG00000276701"
"2","ENSG00000111640",0.729030686479325,0.206435756061649,0.989959430947445,0.577026350205376,1.26342702758695,"UP","control","GAPDH",2597,"ENSG00000111640"
"3","ENSG00000137818",0.725432561680161,0.213691832931869,0.989959430947445,0.58339005926389,1.24347775585257,"UP","control","RPLP1",6176,"ENSG00000137818"
"4","ENSG00000273673",0.707319645079596,0.266856543122576,0.989959430947445,0.63703510761428,1.11033071274287,"UP","control",NA,NA,"ENSG00000273673"
"5","ENSG00000108518",0.594973853858684,0.451106059920106,0.989959430947445,0.78953781112084,0.753572337484445,"UP","control","PFN1",5216,"ENSG00000108518"
"6","ENSG00000118181",0.52679609082011,0.402046738953151,0.989959430947445,0.628656372072176,0.837971448668668,"UP","control","RPS25",6230,"ENSG00000118181"
"7","ENSG00000167996",0.449021380523177,0.343677527637542,0.989959430947445,0.474189480259176,0.946923960180975,"UP","control","FTH1",2495,"ENSG00000167996"
"8","ENSG00000145425",0.435346055310823,0.423386203499648,0.989959430947445,0.543801659360499,0.800560365745816,"UP","control","RPS3A",6189,"ENSG00000145425"
"9","ENSG00000083845",0.429641565870575,0.480294982955139,0.989959430947445,0.608705583083833,0.70582819972493,"UP","control","RPS5",6193,"ENSG00000083845"
"10","ENSG00000198888",0.401400961055917,0.431201406122753,0.989959430947445,0.509950274794077,0.787137454172382,"UP","control","MT-ND1",4535,"ENSG00000198888"
"11","ENSG00000156482",0.364419814375749,0.444496662975656,0.989959430947445,0.476601265487489,0.76462200326515,"UP","control","RPL30",6156,"ENSG00000156482"
"12","ENSG00000142937",0.350608988409132,0.516915169534751,0.989959430947445,0.540973181169111,0.648107892615714,"UP","control","RPS8",6202,"ENSG00000142937"
"13","ENSG00000265681",0.314248775945563,0.524621457428735,0.989959430947445,0.493917195487703,0.636237771870379,"UP","control","RPL17",6139,"ENSG00000265681"
"14","ENSG00000149806",0.292081596742388,0.655250990252923,0.989959430947445,0.654188294553649,0.446479399240358,"UP","control","FAU",2197,"ENSG00000149806"
"15","ENSG00000196262",0.289192526610281,0.597892738683039,0.989959430947445,0.54830163034947,0.527433278697272,"UP","control","PPIA",5478,"ENSG00000196262"
"16","ENSG00000198242",0.288593361052943,0.550523106634291,0.989959430947445,0.483425038129305,0.596976445758176,"UP","control","RPL23A",6147,"ENSG00000198242"
"17","ENSG00000105193",0.28288733276119,0.533835120599192,0.989959430947445,0.454684108012173,0.622162349148162,"UP","control","RPS16",6217,"ENSG00000105193"
"18","ENSG00000241343",0.271364180393445,0.657826138220278,0.989959430947445,0.612675719707349,0.442916491815712,"UP","control","RPL36A",6173,"ENSG00000241343"
"19","ENSG00000136942",0.267884253358853,0.58941622389123,0.989959430947445,0.496374084447714,0.539682190815646,"UP","control","RPL35",11224,"ENSG00000136942"
"20","ENSG00000233927",0.263834585255942,0.579652337111409,0.989959430947445,0.476328039826219,0.553892618524406,"UP","control","RPS28",6234,"ENSG00000233927"
"21","ENSG00000089009",0.253323532096611,0.707419703912756,0.989959430947445,0.674946712054129,0.375323751597586,"UP","control","RPL6",6128,"ENSG00000089009"
"22","ENSG00000172809",0.253317364779508,0.559180399239714,0.989959430947445,0.433718551971244,0.584059325173396,"UP","control","RPL38",6169,"ENSG00000172809"
