"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","15/21","163/17284",0.0920245398773006,75.7405784399649,33.4384986823095,1.11130619361026e-26,5.41206116288198e-24,4.29315129531544e-24,"FAU/RPL6/RPL17/RPL23A/RPL30/RPL38/RPL36A/RPLP1/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28/RPL35",15
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","7/21","107/17284",0.0654205607476635,53.8442367601246,19.1239208587021,3.09263552707983e-11,7.36374663380971e-09,5.84133797602543e-09,"FAU/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28",7
"GO:0042254","GO:0042254","ribosome biogenesis","9/21","313/17284",0.0287539936102236,23.665905979005,14.1140812126775,4.53618889146389e-11,7.36374663380971e-09,5.84133797602543e-09,"FAU/RPL38/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28/RPL35",9
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","9/21","456/17284",0.0197368421052632,16.2443609022556,11.5063205487657,1.27016933340616e-09,1.546431163422e-07,1.22671617200016e-07,"FAU/RPL38/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28/RPL35",9
"GO:0042255","GO:0042255","ribosome assembly","4/21","56/17284",0.0714285714285714,58.7891156462585,15.1071905639208,5.67636642789718e-07,5.52878090077185e-05,4.38573995587003e-05,"FAU/RPL38/RPS5/RPS28",4
"GO:0000028","GO:0000028","ribosomal small subunit assembly","3/21","20/17284",0.15,123.457142857143,19.1112671587214,1.73892452991174e-06,0.000141142707677836,0.000111962333768001,"FAU/RPS5/RPS28",3
"GO:0006364","GO:0006364","rRNA processing","5/21","223/17284",0.0224215246636771,18.4539824898569,9.14967784453692,5.87744984019323e-06,0.000408902581739158,0.000324364525015175,"RPS8/RPS16/RPS25/RPS28/RPL35",5
"GO:0016072","GO:0016072","rRNA metabolic process","5/21","266/17284",0.018796992481203,15.4708199069101,8.29546574640512,1.38277500923596e-05,0.000841764286872389,0.000667734774196837,"RPS8/RPS16/RPS25/RPS28/RPL35",5
"GO:0030490","GO:0030490","maturation of SSU-rRNA","3/21","54/17284",0.0555555555555556,45.7248677248677,11.480594640973,3.68434414057207e-05,0.00199363955162067,0.00158146701706427,"RPS8/RPS16/RPS28",3
"GO:0022618","GO:0022618","protein-RNA complex assembly","4/21","191/17284",0.0209424083769634,17.2365993517826,7.86979987674864,7.46471762128509e-05,0.00363531748156584,0.00288373828106487,"FAU/RPL38/RPS5/RPS28",4
"GO:0071826","GO:0071826","protein-RNA complex organization","4/21","200/17284",0.02,16.4609523809524,7.67039158832678,8.92350032344916e-05,0.00395067696138158,0.00313389915665631,"FAU/RPL38/RPS5/RPS28",4
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/21","136/17284",0.0220588235294118,18.155462184874,7.00529158234183,0.00057128179195353,0.0231845193901141,0.0183912647058724,"FAU/GAPDH/RPL30",3
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","2/21","35/17284",0.0571428571428571,47.0312925170068,9.50749942492508,0.000816587830086354,0.0305906364040042,0.0242662132503394,"RPS8/RPS16",2
"GO:0019730","GO:0019730","antimicrobial humoral response","3/21","175/17284",0.0171428571428571,14.109387755102,6.07925271851809,0.00118654395161136,0.0412747788881953,0.0327414759579978,"FAU/GAPDH/RPL30",3
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","4/21","421/17284",0.00950118764845606,7.8199298721864,4.94099726974279,0.00149469261712985,0.0485276869694826,0.0384948905604671,"FAU/RPL38/RPS5/RPS28",4
"GO:0048145","GO:0048145","regulation of fibroblast proliferation","2/21","88/17284",0.0227272727272727,18.7056277056277,5.80764448332203,0.00505394083102951,0.153576436754162,0.121825466959424,"FTH1/MIF",2
"GO:0006959","GO:0006959","humoral immune response","3/21","298/17284",0.0100671140939597,8.28571428571429,4.42482180195964,0.00536098444521715,0.153576436754162,0.121825466959424,"FAU/GAPDH/RPL30",3
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","2/21","104/17284",0.0192307692307692,15.8278388278388,5.28985811811117,0.00698920191131396,0.18909674060055,0.150002169675569,"MIF/PPIA",2
"GO:0048144","GO:0048144","fibroblast proliferation","2/21","107/17284",0.0186915887850467,15.3840676457499,5.20548290880244,0.00738407805115003,0.189265579521582,0.150136102203438,"FTH1/MIF",2
"GO:0031640","GO:0031640","killing of cells of another organism","2/21","124/17284",0.0161290322580645,13.2749615975422,4.78446541950023,0.00980732773630847,0.191576338720343,0.15196912635981,"GAPDH/RPL30",2
"GO:0141061","GO:0141061","disruption of cell in another organism","2/21","124/17284",0.0161290322580645,13.2749615975422,4.78446541950023,0.00980732773630847,0.191576338720343,0.15196912635981,"GAPDH/RPL30",2
"GO:0006413","GO:0006413","translational initiation","2/21","126/17284",0.0158730158730159,13.0642479213908,4.7403812460591,0.0101128018700043,0.191576338720343,0.15196912635981,"RPS3A/RPS5",2
"GO:0141060","GO:0141060","disruption of anatomical structure in another organism","2/21","127/17284",0.015748031496063,12.9613798275216,4.71871277929815,0.010267122780284,0.191576338720343,0.15196912635981,"GAPDH/RPL30",2
"GO:0031666","GO:0031666","positive regulation of lipopolysaccharide-mediated signaling pathway","1/21","10/17284",0.1,82.3047619047619,8.96975543191279,0.0120868803559554,0.191576338720343,0.15196912635981,"MIF",1
"GO:0042118","GO:0042118","endothelial cell activation","1/21","10/17284",0.1,82.3047619047619,8.96975543191279,0.0120868803559554,0.191576338720343,0.15196912635981,"PPIA",1
"GO:0070303","GO:0070303","negative regulation of stress-activated protein kinase signaling cascade","1/21","10/17284",0.1,82.3047619047619,8.96975543191279,0.0120868803559554,0.191576338720343,0.15196912635981,"PPIA",1
"GO:0060352","GO:0060352","cell adhesion molecule production","1/21","11/17284",0.0909090909090909,74.8225108225108,8.54205464401568,0.0132878862325631,0.191576338720343,0.15196912635981,"PPIA",1
"GO:0110075","GO:0110075","regulation of ferroptosis","1/21","12/17284",0.0833333333333333,68.5873015873016,8.168559806119,0.0144875014927447,0.191576338720343,0.15196912635981,"FTH1",1
"GO:1905522","GO:1905522","negative regulation of macrophage migration","1/21","12/17284",0.0833333333333333,68.5873015873016,8.168559806119,0.0144875014927447,0.191576338720343,0.15196912635981,"MIF",1
"GO:2000343","GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production","1/21","12/17284",0.0833333333333333,68.5873015873016,8.168559806119,0.0144875014927447,0.191576338720343,0.15196912635981,"MIF",1
"GO:0017014","GO:0017014","protein nitrosylation","1/21","13/17284",0.0769230769230769,63.3113553113553,7.8386488318799,0.0156857276662424,0.191576338720343,0.15196912635981,"GAPDH",1
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","1/21","13/17284",0.0769230769230769,63.3113553113553,7.8386488318799,0.0156857276662424,0.191576338720343,0.15196912635981,"GAPDH",1
"GO:0097707","GO:0097707","ferroptosis","1/21","13/17284",0.0769230769230769,63.3113553113553,7.8386488318799,0.0156857276662424,0.191576338720343,0.15196912635981,"FTH1",1
"GO:0002903","GO:0002903","negative regulation of B cell apoptotic process","1/21","14/17284",0.0714285714285714,58.7891156462585,7.54440465884474,0.0168825662812045,0.191576338720343,0.15196912635981,"MIF",1
"GO:0032308","GO:0032308","positive regulation of prostaglandin secretion","1/21","14/17284",0.0714285714285714,58.7891156462585,7.54440465884474,0.0168825662812045,0.191576338720343,0.15196912635981,"MIF",1
"GO:0032306","GO:0032306","regulation of prostaglandin secretion","1/21","15/17284",0.0666666666666667,54.8698412698413,7.27978926780572,0.0180780188641865,0.191576338720343,0.15196912635981,"MIF",1
"GO:0043518","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","1/21","15/17284",0.0666666666666667,54.8698412698413,7.27978926780572,0.0180780188641865,0.191576338720343,0.15196912635981,"MIF",1
"GO:0070207","GO:0070207","protein homotrimerization","1/21","15/17284",0.0666666666666667,54.8698412698413,7.27978926780572,0.0180780188641865,0.191576338720343,0.15196912635981,"MIF",1
"GO:1900029","GO:1900029","positive regulation of ruffle assembly","1/21","15/17284",0.0666666666666667,54.8698412698413,7.27978926780572,0.0180780188641865,0.191576338720343,0.15196912635981,"PFN1",1
"GO:1902166","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","1/21","15/17284",0.0666666666666667,54.8698412698413,7.27978926780572,0.0180780188641865,0.191576338720343,0.15196912635981,"MIF",1
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","2/21","177/17284",0.0112994350282486,9.29997309658327,3.87112742589743,0.019273435325649,0.191576338720343,0.15196912635981,"MIF/PPIA",2
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/21","17/17284",0.0588235294117647,48.4145658263305,6.82164117488801,0.0204647720324764,0.191576338720343,0.15196912635981,"RPL35",1
"GO:0098885","GO:0098885","modification of postsynaptic actin cytoskeleton","1/21","17/17284",0.0588235294117647,48.4145658263305,6.82164117488801,0.0204647720324764,0.191576338720343,0.15196912635981,"PFN1",1
"GO:0141161","GO:0141161","regulation of cAMP/PKA signal transduction","1/21","17/17284",0.0588235294117647,48.4145658263305,6.82164117488801,0.0204647720324764,0.191576338720343,0.15196912635981,"MIF",1
"GO:1902165","GO:1902165","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","1/21","17/17284",0.0588235294117647,48.4145658263305,6.82164117488801,0.0204647720324764,0.191576338720343,0.15196912635981,"MIF",1
"GO:0006450","GO:0006450","regulation of translational fidelity","1/21","18/17284",0.0555555555555556,45.7248677248677,6.62141069767943,0.0216560756629458,0.191576338720343,0.15196912635981,"RPS5",1
"GO:0032148","GO:0032148","activation of protein kinase B activity","1/21","18/17284",0.0555555555555556,45.7248677248677,6.62141069767943,0.0216560756629458,0.191576338720343,0.15196912635981,"PPIA",1
"GO:0070206","GO:0070206","protein trimerization","1/21","18/17284",0.0555555555555556,45.7248677248677,6.62141069767943,0.0216560756629458,0.191576338720343,0.15196912635981,"MIF",1
"GO:0002902","GO:0002902","regulation of B cell apoptotic process","1/21","19/17284",0.0526315789473684,43.3182957393484,6.43698882978178,0.0228459993517608,0.191576338720343,0.15196912635981,"MIF",1
"GO:0032310","GO:0032310","prostaglandin secretion","1/21","19/17284",0.0526315789473684,43.3182957393484,6.43698882978178,0.0228459993517608,0.191576338720343,0.15196912635981,"MIF",1
"GO:0033033","GO:0033033","negative regulation of myeloid cell apoptotic process","1/21","19/17284",0.0526315789473684,43.3182957393484,6.43698882978178,0.0228459993517608,0.191576338720343,0.15196912635981,"MIF",1
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","1/21","19/17284",0.0526315789473684,43.3182957393484,6.43698882978178,0.0228459993517608,0.191576338720343,0.15196912635981,"MIF",1
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","1/21","19/17284",0.0526315789473684,43.3182957393484,6.43698882978178,0.0228459993517608,0.191576338720343,0.15196912635981,"MIF",1
