"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","13/15","163/17284",0.0797546012269939,91.8985685071575,34.3643301038033,2.96368665317871e-25,3.64533458340982e-23,2.24616251609334e-23,"RPL5/RPL7A/RPL12/RPL15/RPL18A/RPL22/RPL37/RPL39/RPS11/RPS18/RPS20/UBA52/RPL14",13
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","3/15","63/17284",0.0476190476190476,54.8698412698413,12.6243314101789,2.03534044517106e-05,0.0012517343737802,0.000771286905538508,"RPL5/RPL7A/RPL14",3
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","3/15","108/17284",0.0277777777777778,32.0074074074074,9.52659970849402,0.000102211125266654,0.00378209993157537,0.00233043384744054,"RPL5/RPL37/RPS20",3
"GO:0042254","GO:0042254","ribosome biogenesis","4/15","313/17284",0.012779552715655,14.7254526091587,7.22215369451915,0.000122995119726028,0.00378209993157537,0.00233043384744054,"RPL5/RPL7A/RPS11/RPL14",4
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","2/15","30/17284",0.0666666666666667,76.8177777777778,12.2492184927804,0.000301541474879982,0.00741792028204756,0.00457073393502289,"RPL37/RPS20",2
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","3/15","181/17284",0.0165745856353591,19.0983425414365,7.21379079013123,0.000468433218517967,0.00910021204044251,0.00560731935739718,"RPL5/RPL37/RPS20",3
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","4/15","456/17284",0.0087719298245614,10.1076023391813,5.80887230210335,0.000517898246204045,0.00910021204044251,0.00560731935739718,"RPL5/RPL7A/RPS11/RPL14",4
"GO:0006364","GO:0006364","rRNA processing","3/15","223/17284",0.0134529147982063,15.5013452914798,6.42362357685225,0.000859748118752673,0.0132186273258223,0.0081449821776569,"RPL5/RPL7A/RPL14",3
"GO:0016072","GO:0016072","rRNA metabolic process","3/15","266/17284",0.0112781954887218,12.9954887218045,5.81066857504204,0.00142987912352984,0.0195416813549079,0.0120410873560408,"RPL5/RPL7A/RPL14",3
"GO:1904667","GO:1904667","negative regulation of ubiquitin protein ligase activity","1/15","10/17284",0.1,115.226666666667,10.6486032355595,0.00864697497128253,0.0974551896231918,0.060049410807615,"RPL5",1
"GO:0044829","GO:0044829","positive regulation by host of viral genome replication","1/15","11/17284",0.0909090909090909,104.751515151515,10.1444499439628,0.00950782337787237,0.0974551896231918,0.060049410807615,"EEF1A1",1
"GO:0048742","GO:0048742","regulation of skeletal muscle fiber development","1/15","11/17284",0.0909090909090909,104.751515151515,10.1444499439628,0.00950782337787237,0.0974551896231918,0.060049410807615,"NACA",1
"GO:0048630","GO:0048630","skeletal muscle tissue growth","1/15","12/17284",0.0833333333333333,96.0222222222222,9.70434194090937,0.0103679740551914,0.0980969852914264,0.0604448689857313,"NACA",1
"GO:0061684","GO:0061684","chaperone-mediated autophagy","1/15","15/17284",0.0666666666666667,76.8177777777778,8.65774291467227,0.012944244961252,0.0981237568833365,0.0604613649602073,"EEF1A1",1
"GO:0000027","GO:0000027","ribosomal large subunit assembly","1/15","16/17284",0.0625,72.0166666666667,8.37569501404058,0.0138016099693928,0.0981237568833365,0.0604613649602073,"RPL5",1
"GO:0051444","GO:0051444","negative regulation of ubiquitin-protein transferase activity","1/15","16/17284",0.0625,72.0166666666667,8.37569501404058,0.0138016099693928,0.0981237568833365,0.0604613649602073,"RPL5",1
"GO:0061323","GO:0061323","cell proliferation involved in heart morphogenesis","1/15","18/17284",0.0555555555555556,64.0148148148148,7.88323818031618,0.0155142551875835,0.0981237568833365,0.0604613649602073,"NACA",1
"GO:2000136","GO:2000136","regulation of cell proliferation involved in heart morphogenesis","1/15","18/17284",0.0555555555555556,64.0148148148148,7.88323818031618,0.0155142551875835,0.0981237568833365,0.0604613649602073,"NACA",1
"GO:0048643","GO:0048643","positive regulation of skeletal muscle tissue development","1/15","20/17284",0.05,57.6133333333333,7.46594197612759,0.0172241241620563,0.0981237568833365,0.0604613649602073,"NACA",1
"GO:2000434","GO:2000434","regulation of protein neddylation","1/15","20/17284",0.05,57.6133333333333,7.46594197612759,0.0172241241620563,0.0981237568833365,0.0604613649602073,"RPL5",1
"GO:1904666","GO:1904666","regulation of ubiquitin protein ligase activity","1/15","21/17284",0.0476190476190476,54.8698412698413,7.27978926780572,0.018078018864186,0.0981237568833365,0.0604613649602073,"RPL5",1
"GO:0044794","GO:0044794","positive regulation by host of viral process","1/15","22/17284",0.0454545454545455,52.3757575757576,7.10633412030225,0.0189312210722052,0.0981237568833365,0.0604613649602073,"EEF1A1",1
"GO:0045844","GO:0045844","positive regulation of striated muscle tissue development","1/15","24/17284",0.0416666666666667,48.0111111111111,6.79215113179811,0.0206355500916171,0.0981237568833365,0.0604613649602073,"NACA",1
"GO:0048636","GO:0048636","positive regulation of muscle organ development","1/15","24/17284",0.0416666666666667,48.0111111111111,6.79215113179811,0.0206355500916171,0.0981237568833365,0.0604613649602073,"NACA",1
"GO:1901863","GO:1901863","positive regulation of muscle tissue development","1/15","24/17284",0.0416666666666667,48.0111111111111,6.79215113179811,0.0206355500916171,0.0981237568833365,0.0604613649602073,"NACA",1
"GO:0000470","GO:0000470","maturation of LSU-rRNA","1/15","26/17284",0.0384615384615385,44.3179487179487,6.51449753711903,0.0223371153880766,0.0981237568833365,0.0604613649602073,"RPL7A",1
"GO:0044827","GO:0044827","modulation by host of viral genome replication","1/15","26/17284",0.0384615384615385,44.3179487179487,6.51449753711903,0.0223371153880766,0.0981237568833365,0.0604613649602073,"EEF1A1",1
"GO:0048641","GO:0048641","regulation of skeletal muscle tissue development","1/15","26/17284",0.0384615384615385,44.3179487179487,6.51449753711903,0.0223371153880766,0.0981237568833365,0.0604613649602073,"NACA",1
