"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","17/22","163/17284",0.104294478527607,81.9375348577802,37.0641940211065,3.96752206945361e-31,6.1496592076531e-29,4.71926309313956e-29,"RPL7/RPL12/RPL13/RPL19/RPL27/RPL30/RPL27A/RPL35A/RPL37/RPL41/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS21/RPS27",17
"GO:0042254","GO:0042254","ribosome biogenesis","7/22","313/17284",0.0223642172523962,17.5701423177461,10.561364701617,8.06715212246823e-08,6.25204289491288e-06,4.79783257809953e-06,"RPL7/RPL27/RPL35A/RPS11/RPS12/RPS21/RPS27",7
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","7/22","456/17284",0.0153508771929825,12.0602073365231,8.54485676789032,1.02804072344516e-06,5.31154373779997e-05,4.07609128944921e-05,"RPL7/RPL27/RPL35A/RPS11/RPS12/RPS21/RPS27",7
"GO:0006364","GO:0006364","rRNA processing","5/22","223/17284",0.0224215246636771,17.6151651039543,8.9151817315988,7.52647503546944e-06,0.000288898037178207,0.000221701040415195,"RPL7/RPL27/RPL35A/RPS21/RPS27",5
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","4/22","107/17284",0.0373831775700935,29.3695836873407,10.5086406911801,9.31929152187765e-06,0.000288898037178207,0.000221701040415195,"RPS11/RPS12/RPS21/RPS27",4
"GO:0016072","GO:0016072","rRNA metabolic process","5/22","266/17284",0.018796992481203,14.7676008202324,8.07830364740674,1.7670646934536e-05,0.000456491712475514,0.000350312825193433,"RPL7/RPL27/RPL35A/RPS21/RPS27",5
"GO:0006414","GO:0006414","translational elongation","3/22","71/17284",0.0422535211267606,33.1959026888604,9.70458225260689,9.67194844498371e-05,0.00214164572710354,0.00164350402147843,"EEF1A1/RPLP1/RPLP2",3
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","2/22","63/17284",0.0317460317460317,24.9408369408369,6.79603754240845,0.00288182069733615,0.0558352760108879,0.0428481235261822,"RPL7/RPL35A",2
"GO:0019646","GO:0019646","aerobic electron transport chain","2/22","89/17284",0.0224719101123595,17.6547497446374,5.62350873191586,0.00566405053441574,0.0943122494001147,0.0723754443613783,"CYTB/ND2",2
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","2/22","97/17284",0.0206185567010309,16.1986879100281,5.35879662502817,0.00669312737678233,0.0943122494001147,0.0723754443613783,"CYTB/ND2",2
