"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","22/35","163/17284",0.134969325153374,66.6517090271691,37.9347215537671,8.43682482730375e-37,2.54792109784573e-34,1.74065017489635e-34,"RPL7/RPL12/RPL13/RPL19/RPL23A/RPL26/RPL27/RPL30/RPL27A/RPL31/RPS2/RPS11/RPS13/RPS14/RPS15/RPS19/RPS21/RPS27/RPS29/RPL35/RPL13A/RPL36",22
"GO:0042254","GO:0042254","ribosome biogenesis","11/35","313/17284",0.0351437699680511,17.354997717937,13.1531740192572,1.63377350947373e-11,2.46699799930533e-09,1.68536635714132e-09,"RPL7/RPL26/RPL27/RPS11/RPS13/RPS14/RPS15/RPS19/RPS21/RPS27/RPL35",11
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","12/35","456/17284",0.0263157894736842,12.9954887218045,11.6935329154938,4.74116475610375e-11,4.77277252114444e-09,3.26059049893451e-09,"RPL7/RPL26/RPL27/RPS11/RPS13/RPS14/RPS15/RPS19/RPS21/RPS27/RPL35/RPL13A",12
"GO:0006364","GO:0006364","rRNA processing","9/35","223/17284",0.0403587443946188,19.9303010890455,12.8164969239486,4.44820031381908e-10,3.35839123693341e-08,2.29433489870669e-08,"RPL7/RPL26/RPL27/RPS14/RPS15/RPS19/RPS21/RPS27/RPL35",9
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","7/35","107/17284",0.0654205607476635,32.3065420560748,14.6323795439166,1.66583880200071e-09,1.00616663640843e-07,6.87377695141347e-08,"RPS11/RPS13/RPS14/RPS15/RPS19/RPS21/RPS27",7
"GO:0016072","GO:0016072","rRNA metabolic process","9/35","266/17284",0.0338345864661654,16.7084854994629,11.6300745920328,2.1058962939231e-09,1.05996780127463e-07,7.24132760717416e-08,"RPL7/RPL26/RPL27/RPS14/RPS15/RPS19/RPS21/RPS27/RPL35",9
"GO:0006119","GO:0006119","oxidative phosphorylation","7/35","143/17284",0.048951048951049,24.1734265734266,12.5343501736652,1.26848934155139e-08,5.47262544497886e-07,3.73870542773042e-07,"ATP6/COX1/COX2/COX3/CYTB/ND1/ND2",7
"GO:0019646","GO:0019646","aerobic electron transport chain","6/35","89/17284",0.0674157303370786,33.2918138041734,13.7577679169218,2.26215415897125e-08,8.53963195011648e-07,5.83397651524165e-07,"COX1/COX2/COX3/CYTB/ND1/ND2",6
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","6/35","97/17284",0.0618556701030928,30.5460972017673,13.1446061203586,3.80266504880827e-08,1.1484048447401e-06,7.84549841648864e-07,"COX1/COX2/COX3/CYTB/ND1/ND2",6
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","6/35","97/17284",0.0618556701030928,30.5460972017673,13.1446061203586,3.80266504880827e-08,1.1484048447401e-06,7.84549841648864e-07,"COX1/COX2/COX3/CYTB/ND1/ND2",6
"GO:0000028","GO:0000028","ribosomal small subunit assembly","4/35","20/17284",0.2,98.7657142857143,19.7057281791144,6.66959457980075e-08,1.8311068755453e-06,1.25094788291e-06,"RPS14/RPS15/RPS19/RPS27",4
"GO:0009060","GO:0009060","aerobic respiration","7/35","194/17284",0.0360824742268041,17.8185567010309,10.6115831967042,1.03798946350681e-07,2.61227348315881e-06,1.78461346357312e-06,"ATP6/COX1/COX2/COX3/CYTB/ND1/ND2",7
"GO:0022904","GO:0022904","respiratory electron transport chain","6/35","121/17284",0.0495867768595041,24.4873671782763,11.6786339721371,1.42864858311608e-07,3.31886055462351e-06,2.26732892543119e-06,"COX1/COX2/COX3/CYTB/ND1/ND2",6
