filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	13bc6c70-c93a-4b76-9d8d-e947f6bcdbcc	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1883	1	71.172	2.2845	71.847	1.6095	235	13.8285	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	88c47457-c809-4e87-a207-7e1bdebf4661	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1705	1	71.028	2.429	71.703	1.754	130	16.9629	unclassified	ENST00000308961.5	462	575	4	117	+	113	113	113	0	0	0	0	0.869231	1	1	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	a8ec7c06-89a8-4152-bc45-27e03b3b6fdc	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1862	1	71.008	2.3925	71.608	1.7925	140	14.7926	unclassified	ENST00000494946.6	356	472	8	123	+	116	115	115	0	1	0	0	0.821429	1	0.991379	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	eb57dbe5-8dce-40e7-9fc0-e656aaa1f167	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	2071	1	71.364	4.2295	71.8515	3.742	487	14.1108	unclassified	ENST00000592588.7	21	500	0	467	+	479	467	462	0	12	5	29	0.958932	0.989293	0.964509	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	f1d5ec9d-e0a0-46ff-a90b-abb6cd878a6b	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1952	1	70.919	2.09975	71.494	1.52475	193	14.3839	unclassified	ENST00000588372.5	1409	1582	2	177	+	175	173	172	2	0	1	0	0.906736	0.99422	0.982857	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	d933b034-3ce8-45f5-a733-b51e6c16cafb	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1380	1	70.976	2.043	71.651	1.368	171	14.2383	unclassified	ENST00000260379.11	360	515	3	155	+	155	152	152	0	3	0	0	0.888889	1	0.980645	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	5ecb1146-92a9-4861-908d-80114336600c	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1431	1	75.984	4.39475	76.6465	3.73225	364	15.0348	unclassified	ENST00000600659.3	16	386	0	355	+	374	351	349	4	19	2	60	0.975275	0.994302	0.933155	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	517cae3b-a894-466d-9ae2-25e1fef1e282	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1832	1	73.843	4.96	74.293	4.51	504	18.4208	unclassified	ENST00000396861.5	855	1348	0	487	+	496	484	482	3	9	2	14	0.96627	0.995868	0.971774	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	0610b80e-d283-49f4-bbca-f8228c9fbc03	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1684	1	71.708	4.0185	72.1205	3.606	397	20.0931	unclassified	ENST00000243997.8	36	400	0	364	+	366	362	360	2	2	2	60	0.916877	0.994475	0.983607	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	9e6ec01d-db01-449f-b4de-855956ae7203	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1452	1	72.881	8.57975	73.4435	8.01725	979	13.8094	unclassified	ENST00000614575.4	280	1237	1	952	+	969	939	931	12	18	8	0	0.971399	0.99148	0.960784	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	afbff3dc-c550-4c6f-b144-6312bbe9b643	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	2020	1	70.965	1.011	71.7025	0.2735	15	2.33684	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	fb53b1ac-815b-470b-a882-bafe1f569465	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	2094	1	70.967	2.435	71.542	1.86	155	16.4303	unclassified	ENST00000373548.8	1979	2118	2	145	+	144	138	138	5	1	0	0	0.922581	1	0.958333	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	10cb792e-ec23-4a46-98d3-4436ef6d03b4	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	2029	1	71.331	2.70975	71.8685	2.17225	206	14.7844	unclassified	ENST00000393263.7	1265	1455	6	195	+	190	189	188	0	1	1	0	0.917476	0.994709	0.989474	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	01dd5652-24b0-43d7-bf3f-1326a4aaa486	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1950	1	70.991	2.46625	71.5535	1.90375	133	13.5313	unclassified	ENST00000585409.2	389	512	2	121	+	124	118	116	1	5	2	0	0.894737	0.983051	0.935484	0
PAS98171_pass_1e60f8dd_f5ca5a0a_0.pod5	96e7d260-82aa-4891-8381-bd76d423025b	f5ca5a0a716b0195eed48792b297c96e62fe7bb5	1652	1	71.064	1.955	71.639	1.38	139	13.1989	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
