filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PAS98818_pass_a8213d2d_55b97e52_0.pod5	f43a7c5a-ccab-4b6d-8601-51bfe39eafd5	55b97e52b6457c7296c12413c436f78dae40ad1f	2432	1	70.299	2.24475	70.999	1.54475	150	17.2446	unclassified	ENST00000331825.11	739	871	2	134	+	132	132	132	0	0	0	60	0.88	1	1	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	0b1a46c0-22c4-472c-8115-210a47242650	55b97e52b6457c7296c12413c436f78dae40ad1f	2659	1	75.687	2.94775	76.2995	2.33525	130	15.8222	unclassified	ENST00000303562.9	1988	2104	4	119	+	116	115	115	0	1	0	60	0.884615	1	0.991379	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	fd3b863e-33b0-4c55-8682-e5706c6dd55c	55b97e52b6457c7296c12413c436f78dae40ad1f	634	1	70.273	1.7955	70.798	1.2705	105	14.4136	unclassified	ENST00000549525.1	672	762	3	91	+	91	87	85	1	3	2	1	0.838095	0.977012	0.934066	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	21ce62f1-2ccc-4acd-9140-6609a1d62d2c	55b97e52b6457c7296c12413c436f78dae40ad1f	27	1	70.604	1.8475	71.279	1.1725	156	14.2161	unclassified	ENST00000361227.2	228	346	9	127	+	118	118	117	0	0	1	49	0.75641	0.991525	0.991525	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	6e23fa72-aa1a-499c-b2c3-253601bed702	55b97e52b6457c7296c12413c436f78dae40ad1f	2664	1	77.539	2.409	78.1515	1.7965	202	16.1164	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	0c7f761f-f287-4ff4-8df6-a80959c10a74	55b97e52b6457c7296c12413c436f78dae40ad1f	2317	1	70.791	2.22975	71.366	1.65475	199	15.8916	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	a5008e91-c565-40d8-9a77-8fb99520a8c0	55b97e52b6457c7296c12413c436f78dae40ad1f	2310	1	70.218	2.326	70.743	1.801	136	13.8156	unclassified	ENST00000632419.1	1789	1909	5	123	+	122	116	115	2	4	1	0	0.867647	0.991379	0.942623	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	3a2e74f6-0202-4b4f-a601-9d7af008706e	55b97e52b6457c7296c12413c436f78dae40ad1f	2622	1	70.3	2.20375	70.9	1.60375	95	15.5148	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	b068794b-628c-417b-aa14-19504f9e04df	55b97e52b6457c7296c12413c436f78dae40ad1f	536	1	75.465	2.4475	76.015	1.8975	278	15.273	unclassified	ENST00000394861.3	3687	3950	2	265	+	266	260	257	3	3	3	0	0.946043	0.988462	0.966165	0
PAS98818_pass_a8213d2d_55b97e52_0.pod5	b2ff356f-cfdd-4019-aad1-d7ade80d01cd	55b97e52b6457c7296c12413c436f78dae40ad1f	2134	1	70.298	1.73	70.848	1.18	156	11.986	unclassified	ENST00000556230.2	530	675	8	151	+	145	143	142	0	2	1	0	0.916667	0.993007	0.97931	0
