"","hgnc_symbol","ref_seq_id","ensembl_gene_id","entrezgene_id"
"1","RPL19","ENST00000225430","ENSG00000108298",6143
"3","RPS12","ENST00000230050","ENSG00000112306",6206
"5","TMSB10","ENST00000233143","ENSG00000034510",9168
"9","RPL27","ENST00000253788","ENSG00000131469",6155
"13","RPLP1","ENST00000260379","ENSG00000137818",6176
"17","RPS11","ENST00000270625","ENSG00000142534",6205
"20","RPL37","ENST00000274242","ENSG00000145592",6167
"21","RPL30","ENST00000287038","ENSG00000156482",6156
"23","EEF1A1","ENST00000309268","ENSG00000156508",1915
"32","RPL13","ENST00000311528","ENSG00000167526",6137
"34","RPL27A","ENST00000314138","ENSG00000166441",6157
"36","RPLP2","ENST00000321153","ENSG00000177600",6181
"40","RPS21","ENST00000343986","ENSG00000171858",6227
"45","RPL7","ENST00000352983","ENSG00000147604",6129
"49","RPL12","ENST00000361436","ENSG00000197958",6136
"53","MT-ND2","ENST00000361453","ENSG00000198763",4536
"61","MT-CYB","ENST00000361789","ENSG00000198727",4519
"76","RPL41","ENST00000501597","ENSG00000229117",6171
"78","MTRNR2L8","ENST00000536684","ENSG00000255823",100463486
"115","RPL35A","ENST00000647248","ENSG00000182899",6165
"118","RPS10","ENST00000648437","ENSG00000124614",6204
"122","RPS27","ENST00000651669","ENSG00000177954",6232
