filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PAS97975_pass_fda36cd9_67812567_0.pod5	7f602271-3fb8-419f-8135-ab09bb2fd9ba	67812567179e4543df9f4d317ce74275e6079936	1860	1	71.755	2.36225	72.4425	1.67475	136	13.9892	unclassified	ENST00000270142.11	766	895	2	131	+	129	129	129	0	0	0	0	0.948529	1	1	0
PAS97975_pass_fda36cd9_67812567_0.pod5	e002519a-e30e-401b-9723-8075a57ac346	67812567179e4543df9f4d317ce74275e6079936	2021	1	71.874	1.71	72.424	1.16	143	12.3886	unclassified	ENST00000464595.1	542	668	10	138	+	129	125	121	3	1	4	0	0.895105	0.968	0.937984	0
PAS97975_pass_fda36cd9_67812567_0.pod5	283e00e0-03f8-48c2-af0c-228a99c74a48	67812567179e4543df9f4d317ce74275e6079936	1762	1	74.262	4.38775	75.0245	3.62525	475	18.4365	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	e4529b0c-3b65-4784-8e3c-8f2e9768cd4b	67812567179e4543df9f4d317ce74275e6079936	1766	1	72.316	3.81175	72.9285	3.19925	451	14.9749	unclassified	ENST00000296102.8	63	505	2	431	+	445	426	421	3	16	5	60	0.951219	0.988263	0.946067	0
PAS97975_pass_fda36cd9_67812567_0.pod5	6efa16c6-daa1-4e40-b55e-56ac84bb54ce	67812567179e4543df9f4d317ce74275e6079936	2053	1	73.184	5.4655	73.634	5.0155	698	15.8027	unclassified	ENST00000361739.1	12	684	0	658	+	677	653	647	5	19	6	60	0.942693	0.990812	0.955687	0
PAS97975_pass_fda36cd9_67812567_0.pod5	1e0020b0-83cd-4591-a2dc-e069a2db44d3	67812567179e4543df9f4d317ce74275e6079936	902	1	72.048	4.6645	72.7355	3.977	541	13.2589	unclassified	ENST00000477055.5	158	651	40	527	+	497	483	475	4	10	8	1	0.900185	0.983437	0.955734	0
PAS97975_pass_fda36cd9_67812567_0.pod5	5a1333ab-8365-4588-947f-c5dc78265613	67812567179e4543df9f4d317ce74275e6079936	1022	1	77.094	2.8825	77.7315	2.245	337	17.3149	unclassified	ENST00000572383.1	155	492	3	337	+	337	334	333	0	3	1	0	0.991098	0.997006	0.988131	0
PAS97975_pass_fda36cd9_67812567_0.pod5	cf1e063f-dd3d-49dd-a0ea-a7466e270deb	67812567179e4543df9f4d317ce74275e6079936	2029	1	72.114	1.171	72.7265	0.5585	73	13.7799	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	990899dd-ebba-4411-aa32-d9cf74f77740	67812567179e4543df9f4d317ce74275e6079936	1662	1	72.666	2.106	73.141	1.631	105	11.734	unclassified	ENST00000229854.12	2998	3093	1	95	+	95	94	94	0	1	0	0	0.895238	1	0.989474	0
PAS97975_pass_fda36cd9_67812567_0.pod5	378773d9-5a36-45a6-9c75-9f9df5619de3	67812567179e4543df9f4d317ce74275e6079936	1057	1	68.987	3.73875	71.562	1.16375	64	4.62389	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	0338b727-87c4-40cf-864c-4c09bb311e3f	67812567179e4543df9f4d317ce74275e6079936	2028	1	71.883	2.23375	72.5205	1.59625	185	16.2678	unclassified	ENST00000374517.6	355	531	0	177	+	177	176	176	1	0	0	0	0.956757	1	0.99435	0
PAS97975_pass_fda36cd9_67812567_0.pod5	ba99745f-eda7-47ba-a736-2214686f9d38	67812567179e4543df9f4d317ce74275e6079936	1816	1	74.033	1.385	74.508	0.91	145	10.3662	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	eff05e11-b72b-4d5c-a2c2-f0809a0d16c7	67812567179e4543df9f4d317ce74275e6079936	1848	1	72.321	1.72125	72.8085	1.23375	207	15.0949	unclassified	ENST00000617119.4	800	996	2	200	+	198	196	196	2	0	0	0	0.956522	1	0.989899	0
PAS97975_pass_fda36cd9_67812567_0.pod5	54ac6dfc-b225-40e6-90cb-4cfb4a763b10	67812567179e4543df9f4d317ce74275e6079936	1933	1	72.18	1.937	72.605	1.512	212	13.5163	unclassified	ENST00000531743.5	491	693	3	200	+	203	196	193	1	6	3	0	0.929245	0.984694	0.950739	0
PAS97975_pass_fda36cd9_67812567_0.pod5	0aab3bcb-a76d-4cfc-a84f-38cd77bd5309	67812567179e4543df9f4d317ce74275e6079936	1657	1	71.839	1.71875	72.439	1.11875	172	15.7284	unclassified	ENST00000253788.12	343	505	2	164	+	163	161	160	1	1	1	0	0.94186	0.993789	0.981595	0
PAS97975_pass_fda36cd9_67812567_0.pod5	db9b7d92-f101-467c-aaae-c34d92e85beb	67812567179e4543df9f4d317ce74275e6079936	1591	1	71.966	2.09875	72.4785	1.58625	150	13.3339	unclassified	ENST00000248566.3	348	494	4	150	+	149	143	140	3	3	3	0	0.973333	0.979021	0.939597	0
PAS97975_pass_fda36cd9_67812567_0.pod5	38f7a7d1-aba6-4ef9-9d75-7f2a4a385168	67812567179e4543df9f4d317ce74275e6079936	1097	1	72.249	1.1385	72.9115	0.476	54	12.526	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	20aad091-c8c6-4a85-b0be-352e184098e6	67812567179e4543df9f4d317ce74275e6079936	1959	1	75.15	4.01725	75.675	3.49225	447	18.3636	unclassified	ENST00000370081.6	373	802	0	431	+	432	428	426	3	1	2	0	0.964206	0.995327	0.986111	0
PAS97975_pass_fda36cd9_67812567_0.pod5	8e1fa87e-ba7d-4373-870b-8b2a9ada489b	67812567179e4543df9f4d317ce74275e6079936	1073	1	73.667	3.8875	74.167	3.3875	434	18.1606	unclassified	ENST00000356464.10	390	819	0	427	+	432	424	423	3	5	1	0	0.983871	0.997642	0.979167	0
PAS97975_pass_fda36cd9_67812567_0.pod5	ff30aa5f-5271-4dd0-a8ba-980744d40ffd	67812567179e4543df9f4d317ce74275e6079936	848	1	72.36	3.22225	72.8225	2.75975	425	17.7347	unclassified	ENST00000361624.2	1120	1529	19	425	-	413	402	401	4	7	1	60	0.955294	0.997512	0.970944	0
PAS97975_pass_fda36cd9_67812567_0.pod5	cc269551-6ce4-48a6-91da-6d529817d5a1	67812567179e4543df9f4d317ce74275e6079936	899	1	73.057	6.008	73.582	5.483	759	15.4822	unclassified	ENST00000678431.1	1684	2446	0	752	+	768	746	744	6	16	2	0	0.990777	0.997319	0.96875	0
PAS97975_pass_fda36cd9_67812567_0.pod5	0388c281-4731-4648-827e-dc63f367a297	67812567179e4543df9f4d317ce74275e6079936	845	1	74.062	2.37875	74.512	1.92875	176	14.9048	unclassified	ENST00000678066.1	953	1112	2	162	+	160	159	159	1	0	0	0	0.909091	1	0.99375	0
PAS97975_pass_fda36cd9_67812567_0.pod5	2dfa89e4-f7fc-4a4f-97ba-3cc3af1d896f	67812567179e4543df9f4d317ce74275e6079936	2563	1	72.437	1.6795	72.9995	1.117	139	13.8644	unclassified	ENST00000361575.4	258	390	2	135	+	135	130	128	3	2	2	0	0.956835	0.984615	0.948148	0
PAS97975_pass_fda36cd9_67812567_0.pod5	7f025824-e630-4ea9-bc42-599c182a2173	67812567179e4543df9f4d317ce74275e6079936	806	1	74.672	2.46275	75.2095	1.92525	289	14.3607	unclassified	ENST00000546989.5	715	993	3	278	+	279	274	271	1	4	3	0	0.951557	0.989051	0.971326	0
PAS97975_pass_fda36cd9_67812567_0.pod5	7945ec85-34ea-496c-ae96-0df2306b7f2c	67812567179e4543df9f4d317ce74275e6079936	1164	1	76.789	2.4345	77.364	1.8595	85	14.7703	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	f251e826-4b88-42a4-8417-9266fb84c1bb	67812567179e4543df9f4d317ce74275e6079936	892	1	72.09	4.212	72.565	3.737	570	17.6131	unclassified	ENST00000535750.5	115	592	76	555	+	481	475	473	4	2	2	1	0.840351	0.995789	0.983368	0
PAS97975_pass_fda36cd9_67812567_0.pod5	265d5131-1ee5-43e6-8fdf-9b050a79d44c	67812567179e4543df9f4d317ce74275e6079936	746	1	72.063	4.438	72.588	3.913	505	15.5862	unclassified	ENST00000651545.1	24	526	0	498	+	508	492	484	6	10	8	0	0.986139	0.98374	0.952756	0
PAS97975_pass_fda36cd9_67812567_0.pod5	e27c8c57-79e9-479d-b357-ca5031aaac38	67812567179e4543df9f4d317ce74275e6079936	777	1	72.82	3.6695	73.3325	3.157	431	15.704	unclassified	ENST00000456793.2	3	425	2	420	+	423	417	417	1	5	0	20	0.969838	1	0.985816	0
PAS97975_pass_fda36cd9_67812567_0.pod5	1d77ca71-5a3a-4e08-a4f0-d0bf29c2d39b	67812567179e4543df9f4d317ce74275e6079936	632	1	71.918	6.896	72.493	6.321	958	15.0937	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	32ed37f6-248c-4172-aeb6-eb7509a9394a	67812567179e4543df9f4d317ce74275e6079936	1187	1	76.746	3.797	77.3585	3.1845	463	17.6222	unclassified	ENST00000233143.6	12	461	1	446	+	451	443	440	2	6	3	60	0.961123	0.993228	0.97561	0
PAS97975_pass_fda36cd9_67812567_0.pod5	6aa8a56b-d559-45ac-b3c0-e5d815eab2f4	67812567179e4543df9f4d317ce74275e6079936	2475	1	71.941	1.464	72.4535	0.9515	138	14.3879	unclassified	ENST00000361624.2	172	293	0	118	+	121	118	117	0	3	1	0	0.855072	0.991525	0.966942	0
PAS97975_pass_fda36cd9_67812567_0.pod5	ea29f5b6-0acf-4aa4-8c18-e71cf1313d37	67812567179e4543df9f4d317ce74275e6079936	1109	1	71.976	2.141	72.6635	1.4535	99	12.7834	unclassified	ENST00000677422.1	3957	4046	7	91	+	89	84	84	0	5	0	0	0.848485	1	0.94382	0
PAS97975_pass_fda36cd9_67812567_0.pod5	9cedacdb-773b-4085-85cf-8a6d605239fd	67812567179e4543df9f4d317ce74275e6079936	2185	1	73.814	2.534	74.3015	2.0465	339	13.2687	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	e90f948e-1d43-4c31-a5ff-5a54db7cbfb1	67812567179e4543df9f4d317ce74275e6079936	2122	1	77.247	2.7665	77.872	2.1415	210	14.0881	unclassified	ENST00000544844.6	385	581	5	200	+	197	194	191	1	2	3	0	0.928571	0.984536	0.969543	0
PAS97975_pass_fda36cd9_67812567_0.pod5	9c0d4e72-a857-4c4c-8e85-e2d9da86d324	67812567179e4543df9f4d317ce74275e6079936	2164	1	69.445	2.30025	69.445	2.30025	73	1.6452	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	21b840f8-a0f9-4733-8cb5-71f04a5648b0	67812567179e4543df9f4d317ce74275e6079936	1158	1	73.231	5.36125	73.5435	5.04875	652	15.5106	unclassified	ENST00000222247.10	23	631	0	609	+	618	599	590	10	9	9	60	0.934049	0.984975	0.954693	0
PAS97975_pass_fda36cd9_67812567_0.pod5	439af922-5245-4aab-8f2d-258258e4c3ce	67812567179e4543df9f4d317ce74275e6079936	2477	1	74.506	6.1225	74.931	5.6975	690	16.523	unclassified	ENST00000540486.5	60	753	0	679	+	700	672	668	7	21	4	0	0.984058	0.994048	0.954286	0
PAS97975_pass_fda36cd9_67812567_0.pod5	7113a08e-43e7-4b94-b003-f78701b21399	67812567179e4543df9f4d317ce74275e6079936	517	1	72.938	5.3885	73.538	4.7885	640	18.9308	unclassified	ENST00000466397.5	129	742	19	630	+	613	611	611	0	2	0	2	0.954687	1	0.996737	0
PAS97975_pass_fda36cd9_67812567_0.pod5	23c52070-ed75-4be0-b757-be7146a32c96	67812567179e4543df9f4d317ce74275e6079936	1145	1	73.659	4.243	74.109	3.793	442	17.3237	unclassified	ENST00000264258.8	16	447	0	430	+	433	428	427	2	3	1	37	0.972851	0.997664	0.986143	0
PAS97975_pass_fda36cd9_67812567_0.pod5	e74d844a-eb0f-4729-b2b7-ae6f8b9a6da5	67812567179e4543df9f4d317ce74275e6079936	2360	1	72.555	1.562	73.0675	1.0495	124	14.0357	unclassified	ENST00000371348.5	1796	1899	2	107	+	108	100	100	5	3	0	0	0.846774	1	0.925926	0
PAS97975_pass_fda36cd9_67812567_0.pod5	e23d1c69-765f-4722-9a2d-ce0d377e74fd	67812567179e4543df9f4d317ce74275e6079936	2208	1	71.761	0.64975	71.761	0.64975	78	5.31345	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	89e966f6-d912-4fb7-b324-405e6e2e1c5f	67812567179e4543df9f4d317ce74275e6079936	2109	1	71.988	2.1285	72.588	1.5285	196	15.7914	unclassified	ENST00000562879.5	374	558	1	184	+	185	182	182	1	2	0	0	0.933673	1	0.983784	0
PAS97975_pass_fda36cd9_67812567_0.pod5	3cd62687-b416-4b29-a921-788ddd95585e	67812567179e4543df9f4d317ce74275e6079936	2057	1	71.93	2.1865	72.7175	1.399	177	15.54	unclassified	ENST00000504562.1	344	505	4	165	+	161	161	159	0	0	2	0	0.909605	0.987578	0.987578	0
PAS97975_pass_fda36cd9_67812567_0.pod5	6bcb9564-27c4-40fd-b9de-6184131d6ff7	67812567179e4543df9f4d317ce74275e6079936	2293	1	72.108	2.00875	72.5705	1.54625	53	12.4668	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	028290e5-0354-4104-9c3a-3a51ac0a60e7	67812567179e4543df9f4d317ce74275e6079936	2340	1	72.104	2.01325	73.0665	1.05075	67	13.0953	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS97975_pass_fda36cd9_67812567_0.pod5	2094915d-1831-45d3-bc99-705a3a19c06d	67812567179e4543df9f4d317ce74275e6079936	2270	1	72.099	2.01825	72.599	1.51825	184	17.8265	unclassified	ENST00000230050.4	339	503	5	168	+	164	163	163	0	1	0	0	0.88587	1	0.993902	0
PAS97975_pass_fda36cd9_67812567_0.pod5	55902d2c-fc57-4d51-a9c0-06321e74d805	67812567179e4543df9f4d317ce74275e6079936	2212	1	71.959	2.115	72.5465	1.5275	182	17.1987	unclassified	ENST00000639141.1	838	1014	1	176	+	176	175	175	0	1	0	0	0.961538	1	0.994318	0
PAS97975_pass_fda36cd9_67812567_0.pod5	595477a5-e34a-40b8-b2c4-23a4bca199a1	67812567179e4543df9f4d317ce74275e6079936	2429	1	73.857	6.8505	74.532	6.1755	641	16.3088	unclassified	ENST00000248378.6	12	656	0	634	+	650	628	623	6	16	5	60	0.98908	0.992038	0.958462	0
PAS97975_pass_fda36cd9_67812567_0.pod5	20a3cd59-8dc2-4bf3-abcf-7ad7d7e2ee50	67812567179e4543df9f4d317ce74275e6079936	2356	1	72.38	1.685	72.88	1.185	170	18.2718	unclassified	ENST00000273968.5	1182	1311	2	130	+	130	127	127	1	2	0	0	0.752941	1	0.976923	0
PAS97975_pass_fda36cd9_67812567_0.pod5	9cb91dcd-c02f-4a9f-9e41-9ed0306af843	67812567179e4543df9f4d317ce74275e6079936	2091	1	73.262	4.99625	73.6995	4.55875	599	19.7238	unclassified	ENST00000643069.2	7	607	0	593	+	600	593	589	0	7	4	0	0.989983	0.993255	0.981667	0
