filename	read_id	run_id	channel	mux	start_time	duration	template_start	template_duration	sequence_length_template	mean_qscore_template	barcode	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_direction	alignment_length	alignment_num_aligned	alignment_num_correct	alignment_num_insertions	alignment_num_deletions	alignment_num_substitutions	alignment_mapq	alignment_strand_coverage	alignment_identity	alignment_accuracy	alignment_bed_hits
PAS98400_pass_37c98976_42c0cd09_1.pod5	4856b81e-ebfb-4f52-a4bc-148e99dddd98	42c0cd09907564fb01020833874d2aa3fd3d952f	2036	1	83.323	2.409	83.873	1.859	235	9.8401	unclassified	ENST00000600213.3	24	260	8	233	+	239	222	208	3	14	14	1	0.957447	0.936937	0.870293	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	038ba5b9-08c6-4dd3-bb9e-7dee0b16d029	42c0cd09907564fb01020833874d2aa3fd3d952f	127	2	101.043	3.784	101.518	3.309	422	16.9025	unclassified	ENST00000552361.1	200	623	0	417	+	423	417	415	0	6	2	0	0.988152	0.995204	0.981087	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	ca93b50d-85e2-4352-b9cb-00398a03bb91	42c0cd09907564fb01020833874d2aa3fd3d952f	1970	1	72.476	5.70675	73.076	5.10675	758	14.77	unclassified	ENST00000362079.2	17	784	0	753	+	771	749	740	4	18	9	60	0.993404	0.987984	0.959792	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	d443ea35-8d37-449d-8311-9c2a7c7ad801	42c0cd09907564fb01020833874d2aa3fd3d952f	2131	1	71.998	9.81625	72.5855	9.22875	1335	17.6565	unclassified	ENST00000370441.8	56	1392	0	1321	+	1343	1314	1301	7	22	13	30	0.989513	0.990107	0.968727	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	bd4f2259-6742-440b-b9d8-19b9373d97e8	42c0cd09907564fb01020833874d2aa3fd3d952f	459	1	71.724	2.21	72.349	1.585	183	12.2669	unclassified	ENST00000557342.6	195	364	5	172	+	170	166	163	1	3	3	0	0.912568	0.981928	0.958824	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	fba08ada-b8dd-4293-a48b-ffe8ba4ee7e4	42c0cd09907564fb01020833874d2aa3fd3d952f	160	1	74.51	2.88025	75.11	2.28025	330	16.0796	unclassified	*	-1	-1	-1	-1	*	0	0	0	0	0	0	0	0	0	0	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	e1834dcf-f2b8-4626-8f55-643ff25ff219	42c0cd09907564fb01020833874d2aa3fd3d952f	1975	1	71.655	2.39275	72.255	1.79275	251	13.1487	unclassified	ENST00000361390.2	718	956	3	239	+	241	233	228	3	5	5	27	0.940239	0.978541	0.946058	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	8683d56b-d97c-4b8b-a1e7-c33ef6665f9f	42c0cd09907564fb01020833874d2aa3fd3d952f	397	1	74.603	2.34525	75.1905	1.75775	258	15.8106	unclassified	ENST00000600213.3	676	922	4	250	+	248	244	230	2	2	14	60	0.953488	0.942623	0.927419	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	0646cb5f-f5c3-47e3-a8f0-923b7087f973	42c0cd09907564fb01020833874d2aa3fd3d952f	1096	1	78.644	2.563	79.144	2.063	358	16.0961	unclassified	ENST00000361227.2	12	346	5	340	+	337	332	331	3	2	1	60	0.935754	0.996988	0.982196	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	046262a9-f43d-42fe-b242-2432aaa1c1a3	42c0cd09907564fb01020833874d2aa3fd3d952f	1563	1	74.145	2.74075	74.595	2.29075	360	16.4553	unclassified	ENST00000361227.2	10	346	1	330	+	337	328	327	1	8	1	60	0.913889	0.996951	0.970326	0
PAS98400_pass_37c98976_42c0cd09_1.pod5	b264ea66-a135-4016-8bfe-2118e332380e	42c0cd09907564fb01020833874d2aa3fd3d952f	197	2	99.679	1.93375	100.391	1.22125	153	12.6678	unclassified	ENST00000361739.1	575	684	9	117	+	109	108	108	0	1	0	60	0.705882	1	0.990826	0
